1	94.130049	77	8
2	162.292177	108	10
3	180.296715	145	11
4	209.808452	177	12
5	230.470122	202	13
6	360.349404	251	19
7	419.501589	294	23
8	467.818809	325	26
9	493.628927	342	27
10	525.676005	363	29
11	565.598391	396	35
12	590.239712	419	37
13	591.673267	470	37
14	682.599720	510	45
15	734.480718	523	46
16	777.174824	533	50
17	937.232351	575	58
18	1019.504216	599	60
19	1063.720636	612	63
20	1170.056767	627	70
21	1306.183044	661	81
22	1437.537104	686	91
23	1595.288274	718	103
24	1636.945744	725	103
25	1780.462235	758	109
26	1957.599822	781	119
27	2058.836837	811	125
28	2099.313887	832	127
29	2134.810877	871	128
30	2163.920403	906	130
31	2236.195274	933	138
32	2237.235596	944	137
33	2248.766246	959	139
34	2247.719341	975	142
35	2259.728348	999	143
36	2287.927275	1015	145
37	2318.292624	1015	145
38	2338.098915	1022	142
39	2383.678161	1032	145
40	2389.807733	1032	141
41	2411.322540	1041	144
42	2416.031979	1060	145
43	2423.578776	1068	146
44	2460.165121	1085	152
45	2508.614504	1098	155
46	2513.372001	1122	157
47	2505.804111	1151	155
48	2503.231529	1166	156
49	2522.109846	1181	160
50	2519.398333	1198	158
